CustomerID,Age,Gender,Location,TenureMonths,PlanType,PaymentMethod,MonthlyCharges,TotalCharges,MoviesWatched,SongsListened,AvgSessionDuration,SupportTickets,Rating,Churn,ChurnPrediction
1,32,Male,Jakarta,12,Premium,CreditCard,25,300,20,50,60,1,4,0,0
2,25,Female,Surabaya,3,Basic,E-Wallet,10,30,5,10,30,0,3,1,1
3,45,Male,Bandung,24,Standard,BankTransfer,18,432,15,30,45,2,5,0,0
4,28,Female,Medan,6,Basic,CreditCard,12,72,8,15,35,1,2,1,1
5,38,Male,Yogyakarta,18,Standard,E-Wallet,20,360,18,40,50,0,4,0,0
6,22,Female,Semarang,2,Basic,BankTransfer,9,18,3,8,25,0,3,1,1
7,50,Male,Makassar,36,Premium,CreditCard,30,1080,25,60,70,3,5,0,0
8,30,Female,Palembang,9,Standard,E-Wallet,16,144,12,25,40,1,3,1,1
9,40,Male,Denpasar,20,Premium,BankTransfer,28,560,22,55,65,2,4,0,0
10,27,Female,Balikpapan,4,Basic,CreditCard,11,44,6,12,32,0,2,1,1
11,35,Male,Banjarmasin,15,Standard,E-Wallet,19,285,16,35,48,1,4,0,0
12,24,Female,Padang,1,Basic,BankTransfer,8,8,2,5,20,0,3,1,1
13,48,Male,Malang,30,Premium,CreditCard,27,810,24,58,68,2,5,0,0
14,29,Female,Solo,8,Standard,E-Wallet,17,136,13,28,42,1,3,1,1
15,39,Male,Manado,22,Premium,BankTransfer,29,638,23,57,67,2,4,0,0
16,26,Female,Lampung,5,Basic,CreditCard,13,65,7,14,34,0,2,1,1
17,37,Male,Pekanbaru,17,Standard,E-Wallet,21,357,19,43,52,1,4,0,0
18,23,Female,Samarinda,3,Basic,BankTransfer,10,30,4,9,28,0,3,1,1
19,47,Male,Bogor,33,Premium,CreditCard,31,1023,26,62,72,3,5,0,0
20,31,Female,Depok,10,Standard,E-Wallet,15,150,11,23,38,1,3,1,1
21,36,Male,Bekasi,19,Standard,BankTransfer,22,418,20,45,55,1,4,0,0
22,28,Female,Tangerang,7,Basic,CreditCard,14,98,9,17,37,0,2,1,1
23,41,Male,Cirebon,25,Premium,E-Wallet,26,650,21,53,63,2,5,0,0
24,25,Female,Sukabumi,2,Basic,BankTransfer,9,18,3,7,23,0,3,1,1
25,49,Male,Tasikmalaya,35,Premium,CreditCard,32,1120,27,64,74,3,4,0,0
26,32,Female,Serang,11,Standard,E-Wallet,18,198,14,29,44,1,3,1,1
27,38,Male,Cilegon,21,Premium,BankTransfer,30,630,24,60,70,2,5,0,0
28,27,Female,Kupang,6,Basic,CreditCard,12,72,8,16,36,0,2,1,1
29,42,Male,Mataram,23,Standard,E-Wallet,23,529,21,47,57,1,4,0,0
30,24,Female,Ambon,4,Basic,BankTransfer,11,44,5,10,30,0,3,1,1
